Consultant.Name,Recruiter,CreatedDateTime,Organization.Name,Count,KeyTags
Martin Gottlieb,"{""_id"":""59253d17d864c31bc0c1ff02"",""ModifiedDateTime"":{""$date"":""0001-01-01T00:00:00.000Z""},""JoiningDate"":{""$date"":""0001-01-01T00:00:00.000Z""},""ProfilePicLink"":""https://onblickdevstorage.blob.core.windows.net/rigcontainer/59253d17d864c31bc0c1ff02.png?v=20170601115524"",""IsVisibleToEmployer"":false,""Designation"":""Recruiter"",""QBUserId"":""70899"",""Contact"":{""Name"":""Sajjad Ali"",""ModifiedDateTime"":{""$date"":""0001-01-01T00:00:00.000Z""},""Email"":""sajjad@getnada.com"",""MobileNo"":""+919032419170"",""FirstName"":""Sajjad"",""LastName"":""Ali"",""Group"":""Recruiter""},""AverageRating"":""NotRatedYet""}",2017-05-24T09:13:34.154Z,Abrakadabra,2,"[""logical"",""organizational structure"",""master data management"",""research information"",""process engineering"",""information systems"",""trade management"",""global marketing"",""workstation"",""master data"",""documentum"",""management"",""oracle"",""erwin"",""cadd"",""flow"",""mega"",""fda"",""nmr"",""uml"",""hcp"",""gis""]"
Kalyan Kumar,"{""_id"":""59253d17d864c31bc0c1ff02"",""ModifiedDateTime"":{""$date"":""0001-01-01T00:00:00.000Z""},""JoiningDate"":{""$date"":""0001-01-01T00:00:00.000Z""},""ProfilePicLink"":""https://onblickdevstorage.blob.core.windows.net/rigcontainer/59253d17d864c31bc0c1ff02.png?v=20170601115524"",""IsVisibleToEmployer"":false,""Designation"":""Recruiter"",""QBUserId"":""70899"",""Contact"":{""Name"":""Sajjad Ali"",""ModifiedDateTime"":{""$date"":""0001-01-01T00:00:00.000Z""},""Email"":""sajjad@getnada.com"",""MobileNo"":""+919032419170"",""FirstName"":""Sajjad"",""LastName"":""Ali"",""Group"":""Recruiter""},""AverageRating"":""NotRatedYet""}",2017-06-28T07:20:05.668Z,Abrakadabra,5,"[""sap""]"
Kalyan Uupaur,"{""_id"":""59253dcdd864c31bc0c1ff93"",""ModifiedDateTime"":{""$date"":""0001-01-01T00:00:00.000Z""},""JoiningDate"":{""$date"":""0001-01-01T00:00:00.000Z""},""IsVisibleToEmployer"":false,""QBUserId"":""70902"",""Contact"":{""Name"":""harsha sri"",""ModifiedDateTime"":{""$date"":""0001-01-01T00:00:00.000Z""},""Email"":""harsha123@mailinator.com"",""MobileNo"":"""",""FirstName"":""harsha"",""LastName"":""sri"",""Group"":""Recruiter""},""AverageRating"":""NotRatedYet""}",2017-05-24T09:46:01.027Z,New Company,3,"[""oracle business intelligence enterprise edition"",""informatica administration"",""pl/sql stored procedures"",""business requirements"",""materialized views"",""presentation layer"",""performance tuning"",""stored procedures"",""version control"",""data validation"",""etl procedures"",""data warehouse"",""oracle pl/sql"",""shell scripts"",""data modeling"",""data masking"",""siebel 7.8"",""production"",""windows nt"",""management"",""flat files"",""dashboard"",""analytics"",""priority"",""analysis"",""loading"",""testing"",""writing"",""windows"",""pl/sql"",""oracle"",""t-sql"",""pivot"",""stage"",""erwin"",""obia"",""eim"",""ifb"",""dac"",""poc"",""ods"",""db2"",""sql"",""idq"",""etl"",""qa""]"
Arun Devalapalli,"{""_id"":""59253bf2d864c31bc0c1fe46"",""ModifiedDateTime"":{""$date"":""2017-06-29T10:30:27.888Z""},""JoiningDate"":{""$date"":""0001-01-01T00:00:00.000Z""},""ProfilePicLink"":""https://onblickdevstorage.blob.core.windows.net/rigcontainer/59253bf2d864c31bc0c1fe46.png?v=20170804094809"",""IsVisibleToEmployer"":false,""Designation"":""Recruiter"",""QBUserId"":""70897"",""Contact"":{""Name"":""vinu rec"",""ModifiedDateTime"":{""$date"":""0001-01-01T00:00:00.000Z""},""Email"":""vinurec@getnada.com"",""MobileNo"":""+16416464114"",""FirstName"":""vinu"",""LastName"":""rec"",""Group"":""Recruiter""},""AverageRating"":""NotRatedYet""}",2017-05-24T09:51:18.246Z,Abrakadabra,1,"[""onsite-offshore co-ordination"",""external definitions"",""causal analysis"",""sap master data"",""craftsmanship"",""system design"",""deliverables"",""sap srm 7.0"",""crossworlds"",""production"",""inventory"",""mq series"",""sap fico"",""ansi x12"",""analysis"",""sap r/3"",""edifact"",""vendors"",""payroll"",""sap crm"",""sap ecc"",""sap fs"",""sap bi"",""xi 3.0"",""oracle"",""sphere"",""sap xi"",""juris"",""fs-cd"",""lean"",""wsdl"",""ipad"",""java"",""unix"",""jdbc"",""sftp"",""abap"",""bdc"",""pgp"",""ras"",""as2"",""edi"",""ics"",""srm"",""crm"",""ecc"",""b2b"",""jms"",""sap"",""pr"",""qa""]"
vinu js,"{""_id"":""59253bf2d864c31bc0c1fe46"",""ModifiedDateTime"":{""$date"":""2017-06-29T10:30:27.888Z""},""JoiningDate"":{""$date"":""0001-01-01T00:00:00.000Z""},""ProfilePicLink"":""https://onblickdevstorage.blob.core.windows.net/rigcontainer/59253bf2d864c31bc0c1fe46.png?v=20170804094809"",""IsVisibleToEmployer"":false,""Designation"":""Recruiter"",""QBUserId"":""70897"",""Contact"":{""Name"":""vinu rec"",""ModifiedDateTime"":{""$date"":""0001-01-01T00:00:00.000Z""},""Email"":""vinurec@getnada.com"",""MobileNo"":""+16416464114"",""FirstName"":""vinu"",""LastName"":""rec"",""Group"":""Recruiter""},""AverageRating"":""NotRatedYet""}",2017-08-10T08:21:32.464Z,Abrakadabra,7,"[""onsite-offshore co-ordination"",""external definitions"",""causal analysis"",""sap master data"",""craftsmanship"",""system design"",""deliverables"",""sap srm 7.0"",""crossworlds"",""production"",""inventory"",""mq series"",""sap fico"",""ansi x12"",""analysis"",""sap r/3"",""edifact"",""vendors"",""payroll"",""sap crm"",""sap ecc"",""sap fs"",""sap bi"",""xi 3.0"",""oracle"",""sphere"",""sap xi"",""juris"",""fs-cd"",""lean"",""wsdl"",""ipad"",""java"",""unix"",""jdbc"",""sftp"",""abap"",""bdc"",""pgp"",""ras"",""as2"",""edi"",""ics"",""srm"",""crm"",""ecc"",""b2b"",""jms"",""sap"",""pr"",""qa""]"
shivendra singh,"{""_id"":""59253b6625f57f27a46e2382"",""ModifiedDateTime"":{""$date"":""2017-07-25T09:40:26.846Z""},""ProfilePicLink"":""https://onblickdevstorage.blob.core.windows.net/rigcontainer/59253b6625f57f27a46e2382.png?v=20170724092604"",""IsVisibleToEmployer"":false,""Designation"":""Recruiter"",""QBUserId"":""70893"",""Contact"":{""Name"":""Roja Gadireddy"",""Email"":""roja@rigaps.com"",""FirstName"":""Roja"",""LastName"":""Gadiredy"",""Group"":""Recruiter""},""AverageRating"":""NotRatedYet""}",2017-07-11T11:05:54.881Z,Rig Enterprise App Pvt. Ltd.,8,"[""service oriented architecture"",""managing amazon web services"",""test driven development"",""enterprise java beans"",""dependency injection"",""hibernate filters"",""quality assurance"",""stored procedures"",""sequence diagrams"",""banking software"",""continuous build"",""spring framework"",""customer portal"",""spring security"",""multithreading"",""sql management"",""user interface"",""websphere mq"",""spring batch"",""web services"",""data access"",""telematics"",""linux/unix"",""management"",""java beans"",""spring orm"",""healthcare"",""production"",""spring mvc"",""spring ioc"",""maintenance"",""tibco jms"",""web logic"",""hibernate"",""json api"",""medicaid"",""jenkins"",""windows"",""eclipse"",""testing"",""frames"",""bamboo"",""oracle"",""grails"",""tomcat"",""jquery"",""apache"",""struts"",""swing"",""html5"",""agile"",""log4j"",""mongo"",""maven"",""jboss"",""ejbs"",""j2ee"",""jira"",""json"",""unix"",""jdbc"",""ajax"",""wsdl"",""soap"",""java"",""awt"",""gui"",""api"",""vci"",""jpa"",""mvc"",""db2"",""sql"",""uml"",""tdd"",""orm"",""dao"",""git"",""soa"",""xml"",""jsf"",""jms"",""jsp""]"
suma bindu,"{""_id"":""59253e87d864c31bc0c20040"",""ModifiedDateTime"":{""$date"":""2017-08-01T13:55:43.065Z""},""JoiningDate"":{""$date"":""0001-01-01T00:00:00.000Z""},""ProfilePicLink"":""https://onblickdevstorage.blob.core.windows.net/rigcontainer/59253e87d864c31bc0c20040.png?v=20170609081907"",""IsVisibleToEmployer"":false,""Designation"":""Recruiter"",""QBUserId"":""70906"",""Contact"":{""Name"":""Sowmya Reddy"",""ModifiedDateTime"":{""$date"":""0001-01-01T00:00:00.000Z""},""Email"":""sowmya@rigaps.com"",""MobileNo"":"""",""FirstName"":""Sowmya"",""LastName"":""Reddy"",""Group"":""Recruiter""},""AverageRating"":""NotRatedYet""}",2017-05-24T10:40:11.653Z,Rig Enterprise App Pvt. Ltd.,1,"[""microsoft enterprise library"",""user defined functions"",""team foundation server"",""collateral management"",""inventory management"",""session management"",""visual studio 2010"",""sql server 2008 r2"",""visual studio 2008"",""enterprise library"",""stored procedures"",""ms.net framework"",""windows services"",""entity framework"",""sql server 2005"",""wcf web service"",""decomposition"",""visual studio"",""asp.net mvc 4"",""wcf services"",""web services"",""order entry"",""asp.net mvc"",""management"",""mainframes"",""sql server"",""javascript"",""inventory"",""bootstrap"",""framework"",""kendo ui"",""tune sql"",""outlook"",""iis 6.0"",""testing"",""ado.net"",""windows"",""asp.net"",""ms-sql"",""oracle"",""jquery"",""vb.net"",""t-sql"",""html5"",""kendo"",""html"",""ssis"",""db2"",""sql"",""xml"",""css"",""mvc"",""wcf"",""qa"",""c#""]"
Goutham Akuthota,"{""_id"":""59253e87d864c31bc0c20040"",""ModifiedDateTime"":{""$date"":""2017-08-01T13:55:43.065Z""},""JoiningDate"":{""$date"":""0001-01-01T00:00:00.000Z""},""ProfilePicLink"":""https://onblickdevstorage.blob.core.windows.net/rigcontainer/59253e87d864c31bc0c20040.png?v=20170609081907"",""IsVisibleToEmployer"":false,""Designation"":""Recruiter"",""QBUserId"":""70906"",""Contact"":{""Name"":""Sowmya Reddy"",""ModifiedDateTime"":{""$date"":""0001-01-01T00:00:00.000Z""},""Email"":""sowmya@rigaps.com"",""MobileNo"":"""",""FirstName"":""Sowmya"",""LastName"":""Reddy"",""Group"":""Recruiter""},""AverageRating"":""NotRatedYet""}",2017-05-25T09:43:13.527Z,Rig Enterprise App Pvt. Ltd.,3,"[""service oriented architecture"",""managing amazon web services"",""test driven development"",""enterprise java beans"",""dependency injection"",""hibernate filters"",""quality assurance"",""stored procedures"",""sequence diagrams"",""banking software"",""continuous build"",""spring framework"",""customer portal"",""spring security"",""multithreading"",""sql management"",""user interface"",""websphere mq"",""spring batch"",""web services"",""data access"",""telematics"",""linux/unix"",""management"",""java beans"",""spring orm"",""healthcare"",""production"",""spring mvc"",""spring ioc"",""maintenance"",""tibco jms"",""web logic"",""hibernate"",""json api"",""medicaid"",""jenkins"",""windows"",""eclipse"",""testing"",""frames"",""bamboo"",""oracle"",""grails"",""tomcat"",""jquery"",""apache"",""struts"",""swing"",""html5"",""agile"",""log4j"",""mongo"",""maven"",""jboss"",""ejbs"",""j2ee"",""jira"",""json"",""unix"",""jdbc"",""ajax"",""wsdl"",""soap"",""java"",""awt"",""gui"",""api"",""vci"",""jpa"",""mvc"",""db2"",""sql"",""uml"",""tdd"",""orm"",""dao"",""git"",""soa"",""xml"",""jsf"",""jms"",""jsp""]"
Mahendran Kannan,"{""_id"":""59253e87d864c31bc0c20040"",""ModifiedDateTime"":{""$date"":""2017-08-01T13:55:43.065Z""},""JoiningDate"":{""$date"":""0001-01-01T00:00:00.000Z""},""ProfilePicLink"":""https://onblickdevstorage.blob.core.windows.net/rigcontainer/59253e87d864c31bc0c20040.png?v=20170609081907"",""IsVisibleToEmployer"":false,""Designation"":""Recruiter"",""QBUserId"":""70906"",""Contact"":{""Name"":""Sowmya Reddy"",""ModifiedDateTime"":{""$date"":""0001-01-01T00:00:00.000Z""},""Email"":""sowmya@rigaps.com"",""MobileNo"":"""",""FirstName"":""Sowmya"",""LastName"":""Reddy"",""Group"":""Recruiter""},""AverageRating"":""NotRatedYet""}",2017-05-24T10:40:57.684Z,Rig Enterprise App Pvt. Ltd.,2,"[""quick test professional"",""user acceptance testing"",""functional testing"",""test director 7.6"",""asset management"",""java programming"",""sql server 2005"",""test procedures"",""purchase orders"",""quality center"",""test strategy"",""sql queries"",""subversion"",""sql server"",""archiving"",""workbench"",""licensing"",""workplace"",""databases"",""framework"",""training"",""selenium"",""asp.net"",""jenkins"",""firefox"",""windows"",""eclipse"",""testing"",""chrome"",""pl/sql"",""oracle"",""agile"",""soap"",""java"",""lss"",""ach"",""ie8"",""qtp"",""afe"",""svn"",""uat"",""xml"",""sql""]"
Liang Ji,"{""_id"":""5925393bd864c31bc0c1fce6"",""ModifiedDateTime"":{""$date"":""2017-06-02T06:48:12.386Z""},""JoiningDate"":{""$date"":""0001-01-01T00:00:00.000Z""},""IsVisibleToEmployer"":false,""QBUserId"":""70886"",""Contact"":{""Name"":""durga prasad"",""ModifiedDateTime"":{""$date"":""0001-01-01T00:00:00.000Z""},""Email"":""durga@mailinator.com"",""MobileNo"":""+19030986948"",""FirstName"":""durga"",""LastName"":""prasad"",""Group"":""Recruiter""},""AverageRating"":""NotRatedYet""}",2017-05-25T14:11:27.749Z,New Company,2,"[""enterprise integration replacement"",""master data synchronization"",""credit card processing"",""master data management"",""sap web application"",""smart metering"",""general ledger"",""meter reading"",""bex analyzer"",""weblogic jms"",""java mapping"",""master data"",""sap crm 7.0"",""replacement"",""qa testing"",""management"",""abap proxy"",""logistics"",""utilities"",""inventory"",""transport"",""sap basis"",""analysis"",""weblogic"",""sap is-u"",""sap nwdi"",""sap r/3"",""testing"",""billing"",""sap crm"",""sap ecc"",""planned"",""sap bpm"",""mercury"",""pi 7.1"",""oracle"",""module"",""sap xi"",""sap bw"",""rules"",""proxy"",""ping"",""http"",""nwdi"",""jdbc"",""soap"",""idoc"",""saml"",""java"",""abap"",""bps"",""ods"",""erp"",""pgp"",""as2"",""sdp"",""crm"",""ssl"",""poc"",""wtx"",""b2b"",""ecc"",""qtp"",""jms"",""edi"",""qa"",""sap""]"
Goutham Akuthota,"{""_id"":""5925393bd864c31bc0c1fce6"",""ModifiedDateTime"":{""$date"":""2017-06-02T06:48:12.386Z""},""JoiningDate"":{""$date"":""0001-01-01T00:00:00.000Z""},""IsVisibleToEmployer"":false,""QBUserId"":""70886"",""Contact"":{""Name"":""durga prasad"",""ModifiedDateTime"":{""$date"":""0001-01-01T00:00:00.000Z""},""Email"":""durga@mailinator.com"",""MobileNo"":""+19030986948"",""FirstName"":""durga"",""LastName"":""prasad"",""Group"":""Recruiter""},""AverageRating"":""NotRatedYet""}",2017-05-24T11:12:41.325Z,New Company,1,"[""service oriented architecture"",""managing amazon web services"",""test driven development"",""enterprise java beans"",""dependency injection"",""hibernate filters"",""quality assurance"",""stored procedures"",""sequence diagrams"",""banking software"",""continuous build"",""spring framework"",""customer portal"",""spring security"",""multithreading"",""sql management"",""user interface"",""websphere mq"",""spring batch"",""web services"",""data access"",""telematics"",""linux/unix"",""management"",""java beans"",""spring orm"",""healthcare"",""production"",""spring mvc"",""spring ioc"",""maintenance"",""tibco jms"",""web logic"",""hibernate"",""json api"",""medicaid"",""jenkins"",""windows"",""eclipse"",""testing"",""frames"",""bamboo"",""oracle"",""grails"",""tomcat"",""jquery"",""apache"",""struts"",""swing"",""html5"",""agile"",""log4j"",""mongo"",""maven"",""jboss"",""ejbs"",""j2ee"",""jira"",""json"",""unix"",""jdbc"",""ajax"",""wsdl"",""soap"",""java"",""awt"",""gui"",""api"",""vci"",""jpa"",""mvc"",""db2"",""sql"",""uml"",""tdd"",""orm"",""dao"",""git"",""soa"",""xml"",""jsf"",""jms"",""jsp""]"
Kalyan Kumar,"{""_id"":""59255b98d864c31bc0c209db"",""ModifiedDateTime"":{""$date"":""2017-07-07T13:57:23.451Z""},""JoiningDate"":{""$date"":""0001-01-01T00:00:00.000Z""},""ProfilePicLink"":"""",""IsVisibleToEmployer"":false,""Designation"":""recruiter"",""QBUserId"":""70924"",""Contact"":{""Name"":""govind pokuri"",""ModifiedDateTime"":{""$date"":""0001-01-01T00:00:00.000Z""},""Email"":""govind@rigaps.com"",""MobileNo"":"""",""FirstName"":""govind"",""LastName"":""pokuri"",""Group"":""Recruiter""},""AverageRating"":""NotRatedYet""}",2017-06-21T12:07:36.201Z,Rig Enterprise App Pvt. Ltd.,3,"[""sap""]"
Pokuri Govind,"{""_id"":""59255b98d864c31bc0c209db"",""ModifiedDateTime"":{""$date"":""2017-07-07T13:57:23.451Z""},""JoiningDate"":{""$date"":""0001-01-01T00:00:00.000Z""},""ProfilePicLink"":"""",""IsVisibleToEmployer"":false,""Designation"":""recruiter"",""QBUserId"":""70924"",""Contact"":{""Name"":""govind pokuri"",""ModifiedDateTime"":{""$date"":""0001-01-01T00:00:00.000Z""},""Email"":""govind@rigaps.com"",""MobileNo"":"""",""FirstName"":""govind"",""LastName"":""pokuri"",""Group"":""Recruiter""},""AverageRating"":""NotRatedYet""}",2017-05-29T12:52:50.685Z,Rig Enterprise App Pvt. Ltd.,2,"[""requirement gathering"",""sql server 2008 r2"",""sql server 2012"",""ms sql server"",""unit testing"",""sql server"",""management"",""rest api"",""analysis"",""testing"",""qr code"",""dot net"",""asp.net"",""mvc 4"",""html"",""ajax"",""sql"",""api"",""mvc"",""c#""]"
Arun Devalapalli,"{""_id"":""59255b98d864c31bc0c209db"",""ModifiedDateTime"":{""$date"":""2017-07-07T13:57:23.451Z""},""JoiningDate"":{""$date"":""0001-01-01T00:00:00.000Z""},""ProfilePicLink"":"""",""IsVisibleToEmployer"":false,""Designation"":""recruiter"",""QBUserId"":""70924"",""Contact"":{""Name"":""govind pokuri"",""ModifiedDateTime"":{""$date"":""0001-01-01T00:00:00.000Z""},""Email"":""govind@rigaps.com"",""MobileNo"":"""",""FirstName"":""govind"",""LastName"":""pokuri"",""Group"":""Recruiter""},""AverageRating"":""NotRatedYet""}",2017-05-29T12:34:47.026Z,Rig Enterprise App Pvt. Ltd.,4,"[""onsite-offshore co-ordination"",""external definitions"",""causal analysis"",""sap master data"",""craftsmanship"",""system design"",""deliverables"",""sap srm 7.0"",""crossworlds"",""production"",""inventory"",""mq series"",""sap fico"",""ansi x12"",""analysis"",""sap r/3"",""edifact"",""vendors"",""payroll"",""sap crm"",""sap ecc"",""sap fs"",""sap bi"",""xi 3.0"",""oracle"",""sphere"",""sap xi"",""juris"",""fs-cd"",""lean"",""wsdl"",""ipad"",""java"",""unix"",""jdbc"",""sftp"",""abap"",""bdc"",""pgp"",""ras"",""as2"",""edi"",""ics"",""srm"",""crm"",""ecc"",""b2b"",""jms"",""sap"",""pr"",""qa""]"
